trajectory_type,state_index,ee_x_m,ee_y_m,ee_z_m
bypass,0,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
bypass,1,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
bypass,2,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
bypass,3,0.3069387376308441,0.00013243207649793476,0.5905339121818542
bypass,4,0.3063656687736511,0.0010583937400951982,0.5923840999603271
bypass,5,0.30489325523376465,0.0034095770679414272,0.5969899296760559
bypass,6,0.30259576439857483,0.007191854529082775,0.6038734316825867
bypass,7,0.2996465563774109,0.012288941070437431,0.612231969833374
bypass,8,0.2961050570011139,0.018715715035796165,0.6216101050376892
bypass,9,0.29201897978782654,0.02652057632803917,0.6316194534301758
bypass,10,0.287504106760025,0.03575385734438896,0.6417883634567261
bypass,11,0.2826925814151764,0.046467434614896774,0.6516537666320801
bypass,12,0.27763956785202026,0.05866872891783714,0.6608461141586304
bypass,13,0.27235180139541626,0.07233068346977234,0.6690434217453003
bypass,14,0.2667000889778137,0.08730588108301163,0.6760210394859314
bypass,15,0.26053789258003235,0.10340145230293274,0.681572437286377
bypass,16,0.25375062227249146,0.12042433023452759,0.6854801774024963
bypass,17,0.2462385594844818,0.13815386593341827,0.6875765323638916
bypass,18,0.23789548873901367,0.1563168317079544,0.6879041194915771
bypass,19,0.22864116728305817,0.17461973428726196,0.6865637898445129
bypass,20,0.2184543013572693,0.19277621805667877,0.6836625933647156
bypass,21,0.20735684037208557,0.2105065882205963,0.6793171167373657
bypass,22,0.19540661573410034,0.22754207253456116,0.6736554503440857
bypass,23,0.18270769715309143,0.24363338947296143,0.666811466217041
bypass,24,0.16942667961120605,0.25856447219848633,0.6589093804359436
bypass,25,0.1557682305574417,0.27216029167175293,0.6500893235206604
bypass,26,0.14195723831653595,0.28430405259132385,0.640545666217804
bypass,27,0.1282346397638321,0.2949293255805969,0.6304931640625
bypass,28,0.11485636234283447,0.3040144145488739,0.6201621890068054
bypass,29,0.10208509117364883,0.31158447265625,0.609783947467804
bypass,30,0.09019194543361664,0.3177059292793274,0.5995765328407288
bypass,31,0.0794399082660675,0.32248225808143616,0.5897552967071533
bypass,32,0.07007791101932526,0.3260456323623657,0.5805492997169495
bypass,33,0.06233685091137886,0.3285467326641083,0.5721685886383057
bypass,34,0.0564286895096302,0.33013787865638733,0.5647537708282471
bypass,35,0.05246734246611595,0.3309844136238098,0.558557391166687
bypass,36,0.050242017954587936,0.33134225010871887,0.5543578863143921
bypass,37,0.04939332604408264,0.3314554691314697,0.5526677966117859
bypass,38,0.04927191510796547,0.3314708471298218,0.5524265170097351
bypass,39,0.04927191510796547,0.3314708471298218,0.5524265170097351
bypass,40,0.04927191510796547,0.3314708471298218,0.5524265170097351
