trajectory_type,state_index,ee_x_m,ee_y_m,ee_z_m
passage,0,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
passage,1,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
passage,2,0.30701953172683716,-5.2212761024461596e-12,0.5902696251869202
passage,3,0.3070194125175476,0.00022623941185884178,0.5902695655822754
passage,4,0.30701473355293274,0.0018099074950441718,0.5902690887451172
passage,5,0.30696994066238403,0.005800851620733738,0.5902634263038635
passage,6,0.3068065941333771,0.012018168345093727,0.5902429819107056
passage,7,0.3064272999763489,0.020036926493048668,0.59019535779953
passage,8,0.30571773648262024,0.029693054035305977,0.5901060700416565
passage,9,0.30454954504966736,0.040867969393730164,0.5899590849876404
passage,10,0.30279555916786194,0.053379885852336884,0.5897371768951416
passage,11,0.3003368079662323,0.06702867150306702,0.5894244313240051
passage,12,0.2970646917819977,0.0816228836774826,0.5890055298805237
passage,13,0.2928870618343353,0.09696753323078156,0.5884662866592407
passage,14,0.2877330183982849,0.1128624752163887,0.5877947807312012
passage,15,0.2815554738044739,0.12910710275173187,0.5869811773300171
passage,16,0.27432921528816223,0.14551174640655518,0.5860186219215393
passage,17,0.26605284214019775,0.16189329326152802,0.5849029421806335
passage,18,0.2567466199398041,0.17808085680007935,0.5836331248283386
passage,19,0.24645419418811798,0.193913534283638,0.5822117328643799
passage,20,0.23524008691310883,0.2092437446117401,0.5806445479393005
passage,21,0.22319011390209198,0.22393737733364105,0.5789406895637512
passage,22,0.21041050553321838,0.23787569999694824,0.5771130919456482
passage,23,0.19702591001987457,0.25095683336257935,0.575177788734436
passage,24,0.18318015336990356,0.26309603452682495,0.5731543302536011
passage,25,0.16903305053710938,0.2742284834384918,0.5710654258728027
passage,26,0.15476274490356445,0.2843076288700104,0.568936824798584
passage,27,0.14056099951267242,0.29330891370773315,0.5667970180511475
passage,28,0.12663650512695312,0.30122658610343933,0.5646770596504211
passage,29,0.11320462822914124,0.30807849764823914,0.5626102685928345
passage,30,0.10048110038042068,0.31390437483787537,0.5606313943862915
passage,31,0.08868291974067688,0.31876105070114136,0.5587770938873291
passage,32,0.07803820818662643,0.32271283864974976,0.5570869445800781
passage,33,0.06875954568386078,0.3258373737335205,0.5556000471115112
passage,34,0.060998111963272095,0.3282289206981659,0.5543450713157654
passage,35,0.054945796728134155,0.3299572467803955,0.5533584356307983
passage,36,0.05104498565196991,0.3310089111328125,0.552718460559845
passage,37,0.0494936928153038,0.3314136266708374,0.5524631142616272
passage,38,0.04927191510796547,0.3314708471298218,0.5524265170097351
passage,39,0.04927191510796547,0.3314708471298218,0.5524265170097351
passage,40,0.04927191510796547,0.3314708471298218,0.5524265170097351
