condition_id,scene_id,inflation_mm,budget_mm,direction_count,physx_collisions,physx_collision_rate,physx_safe_retention_rate,curobo_collisions,curobo_collision_rate
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,58,128,45,0.3515625,0.6484375,44,0.34375
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,60,128,45,0.3515625,0.6484375,45,0.3515625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,2,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,4,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,6,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,8,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,10,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,12,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,14,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,16,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,18,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,20,128,0,0.0,1.0,0,0.0
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,22,128,2,0.015625,0.984375,1,0.0078125
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,24,128,8,0.0625,0.9375,7,0.0546875
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,26,128,12,0.09375,0.90625,12,0.09375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,28,128,15,0.1171875,0.8828125,13,0.1015625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,30,128,18,0.140625,0.859375,17,0.1328125
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,32,128,21,0.1640625,0.8359375,19,0.1484375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,34,128,23,0.1796875,0.8203125,21,0.1640625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,36,128,25,0.1953125,0.8046875,24,0.1875
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,38,128,27,0.2109375,0.7890625,26,0.203125
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,40,128,28,0.21875,0.78125,27,0.2109375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,42,128,31,0.2421875,0.7578125,28,0.21875
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,44,128,33,0.2578125,0.7421875,30,0.234375
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,46,128,34,0.265625,0.734375,31,0.2421875
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,48,128,34,0.265625,0.734375,34,0.265625
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,50,128,35,0.2734375,0.7265625,34,0.265625
