attempt_id,phase,round_id,execution_position,position_within_round,condition_id,scene_id,inflation_mm,planning_success,failure_reason,planning_reported_solve_time_s,planning_reported_total_time_s,measured_wall_time_s,trajectory_shape,trajectory_finite,maximum_absolute_joint_difference_rad,mean_absolute_joint_difference_rad,trajectory_length_rad,frozen_trajectory_length_rad,trajectory_length_difference_rad,exact_frozen_trajectory_match,tolerance_frozen_trajectory_match_1e_7_rad,status,error
round_02__position_01__multiscene_candidate_001__inflation_010mm,measured,2,21,1,multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,True,,0.028145663261413573,0.036881343841552734,0.037378107001131866,"[41,7]",True,0.0,0.0,0.9447669386863708,0.9447669386863708,0.0,True,True,completed,
round_02__position_02__multiscene_candidate_001__inflation_015mm,measured,2,22,2,multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,True,,0.026123744010925293,0.03472777557373047,0.03513993800152093,"[41,7]",True,0.0,0.0,0.9460299015045166,0.9460299015045166,0.0,True,True,completed,
round_02__position_03__multiscene_candidate_001__inflation_020mm,measured,2,23,3,multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,True,,0.026764320373535155,0.037912799835205076,0.03834447800181806,"[41,7]",True,0.0,0.0,0.947810709476471,0.947810709476471,0.0,True,True,completed,
round_02__position_04__multiscene_candidate_005__inflation_000mm,measured,2,24,4,multiscene_candidate_005__inflation_000mm,multiscene_candidate_005,0,True,,0.02795417594909668,0.03663177490234375,0.03705364200141048,"[41,7]",True,0.0,0.0,0.9438865780830383,0.9438865780830383,0.0,True,True,completed,
round_02__position_05__multiscene_candidate_005__inflation_005mm,measured,2,25,5,multiscene_candidate_005__inflation_005mm,multiscene_candidate_005,5,True,,0.03668089580535888,0.049221569061279294,0.04964156699861633,"[41,7]",True,0.0,0.0,0.9450989365577698,0.9450989365577698,0.0,True,True,completed,
round_02__position_06__multiscene_candidate_005__inflation_010mm,measured,2,26,6,multiscene_candidate_005__inflation_010mm,multiscene_candidate_005,10,True,,0.025568448066711425,0.0353603515625,0.035778394994849805,"[41,7]",True,0.0,0.0,0.9485982656478882,0.9485982656478882,0.0,True,True,completed,
round_02__position_07__multiscene_candidate_005__inflation_015mm,measured,2,27,7,multiscene_candidate_005__inflation_015mm,multiscene_candidate_005,15,True,,0.026061120033264162,0.03491635131835937,0.035381681998842396,"[41,7]",True,0.0,0.0,0.9550252556800842,0.9550252556800842,0.0,True,True,completed,
round_02__position_08__multiscene_candidate_005__inflation_020mm,measured,2,28,8,multiscene_candidate_005__inflation_020mm,multiscene_candidate_005,20,True,,0.026583840370178222,0.036997119903564454,0.037544013997830916,"[41,7]",True,0.0,0.0,0.9647320508956909,0.9647320508956909,0.0,True,True,completed,
round_02__position_09__multiscene_candidate_006__inflation_000mm,measured,2,29,9,multiscene_candidate_006__inflation_000mm,multiscene_candidate_006,0,True,,0.02585283088684082,0.03448223876953125,0.03492743699462153,"[41,7]",True,0.0,0.0,0.9438737630844116,0.9438737630844116,0.0,True,True,completed,
round_02__position_10__multiscene_candidate_006__inflation_005mm,measured,2,30,10,multiscene_candidate_006__inflation_005mm,multiscene_candidate_006,5,True,,0.026747263908386235,0.036273792266845704,0.03669594999519177,"[41,7]",True,0.0,0.0,0.9442387819290161,0.9442387819290161,0.0,True,True,completed,
