condition_id,scene_id,inflation_mm,measured_attempts,success_count,failure_count,success_rate,c_curobo_m,c_physx_m,frozen_trajectory_length_rad,planner_solve_median_s,planner_solve_q1_s,planner_solve_q3_s,planner_solve_iqr_s,planner_solve_minimum_s,planner_solve_maximum_s,wall_time_median_s,wall_time_q1_s,wall_time_q3_s,wall_time_iqr_s,wall_time_minimum_s,wall_time_maximum_s
formal_baseline_v1__inflation_000mm,formal_baseline_v1,0,30,30,0,1.0,0.013645913451910019,0.013991013169288635,0.9438674449920654,0.025900415897369387,0.025508952379226686,0.026877768278121945,0.0013688158988952592,0.025018527984619142,0.027341504096984867,0.03549989550447208,0.03467733599973144,0.03602008250163635,0.0013427465019049123,0.034086269995896146,0.03734731399890734
formal_baseline_v1__inflation_005mm,formal_baseline_v1,5,30,30,0,1.0,0.015901412814855576,0.016072668135166168,0.9439100027084351,0.02608518362045288,0.025752832174301146,0.026685904264450076,0.0009330720901489301,0.02531667232513428,0.027808959960937497,0.03540030749718426,0.0349215464975714,0.03626127925053879,0.001339732752967393,0.03424066300067352,0.038353415999154095
formal_baseline_v1__inflation_010mm,formal_baseline_v1,10,30,30,0,1.0,0.021645396947860718,0.02139393985271454,0.9444064497947693,0.026519376277923584,0.025920432090759275,0.027364416122436522,0.0014439840316772465,0.025432480812072753,0.028032000541687013,0.03590843450365355,0.03504396450080094,0.03658780874866352,0.0015438442478625802,0.03445037600613432,0.037742499000160024
formal_baseline_v1__inflation_015mm,formal_baseline_v1,15,30,30,0,1.0,0.027148455381393433,0.026523124426603317,0.9454147815704346,0.03498238372802734,0.03434872770309448,0.036365423679351805,0.002016695976257324,0.033073088645935056,0.038563871383666994,0.047662415498052724,0.04660820199933369,0.04848421099632105,0.0018760089969873661,0.04584346399497008,0.05143140600557672
formal_baseline_v1__inflation_020mm,formal_baseline_v1,20,30,30,0,1.0,0.03272680938243866,0.03169293329119682,0.9469339847564697,0.02624681615829468,0.02581271982192993,0.027259864091873167,0.0014471442699432353,0.02507564783096313,0.02771699142456055,0.03563115200086031,0.03504483850338147,0.0363048479975987,0.001260009494217229,0.034467124998627696,0.03718927600129973
multiscene_candidate_001__inflation_000mm,multiscene_candidate_001,0,30,30,0,1.0,0.010950425639748573,0.010678771883249283,0.9438675045967102,0.025856831073760987,0.025256311893463137,0.02663316798210144,0.0013768560886383042,0.025020639419555665,0.027731360435485842,0.035315810495376354,0.034729273997072596,0.036009256253237254,0.0012799822561646579,0.03389745399908861,0.037034999004390556
multiscene_candidate_001__inflation_005mm,multiscene_candidate_001,5,30,30,0,1.0,0.015557520091533661,0.015264790505170822,0.9440393447875977,0.026224592208862304,0.025921111822128296,0.027238175868988034,0.001317064046859738,0.02520364809036255,0.028573184013366698,0.03579761449873331,0.03507129200079362,0.03640669100059313,0.0013353989997995086,0.034354935996816494,0.03888342199934414
multiscene_candidate_001__inflation_010mm,multiscene_candidate_001,10,30,30,0,1.0,0.021505262702703476,0.021194081753492355,0.9447669386863708,0.026307807445526125,0.026020031452178953,0.02718015170097351,0.0011601202487945585,0.025498688697814943,0.028501855850219728,0.03612470750158536,0.035230557499744464,0.03671360325097339,0.0014830457512289286,0.034529696000390686,0.03756700999656459
multiscene_candidate_001__inflation_015mm,multiscene_candidate_001,15,30,30,0,1.0,0.027302131056785583,0.02700779214501381,0.9460299015045166,0.026222767829895022,0.026020992279052732,0.02661315178871155,0.000592159509658817,0.025412768363952638,0.02789311981201172,0.03572970800087205,0.03517048150206392,0.03611159224783478,0.0009411107457708567,0.0347267990000546,0.037355751999712083
multiscene_candidate_001__inflation_020mm,multiscene_candidate_001,20,30,30,0,1.0,0.0330340676009655,0.0327756367623806,0.947810709476471,0.026375104427337644,0.026044511795043947,0.02722196888923645,0.0011774570941925043,0.025453664779663085,0.027759520530700684,0.03595787349695456,0.03526832700299565,0.036344926249512355,0.0010765992465167074,0.03463357299915515,0.03834447800181806
