route_category,condition_count,trajectory_cost_percent_min,trajectory_cost_percent_median,trajectory_cost_percent_max,trajectory_cost_percent_values
passage,9,0.0,0.0,6.314938083562538e-06,"[0.0, 0.0, 0.0, 0.0, 0.0, 6.314938083562538e-06, 0.0, 0.0, 6.314938083562538e-06]"
upper_bypass,11,0.058817333343097467,0.7568769044274504,11.346074520816174,"[0.058817333343097467, 0.5552346163687716, 5.199549517576618, 11.346074520816174, 0.1299614258321924, 0.794393951602812, 5.0231796117424565, 0.28671081902977846, 1.7497241003549657, 0.09336004467945802, 0.7568769044274504]"
