corridor_width_mm,planner_median_min_ms,planner_median_max_ms,monotonic_nondecreasing,planning_successes,planning_failures
120,27.217456817626953,28.21145629882813,False,150,0
140,27.68843173980713,28.357760429382324,False,150,0
160,27.511168479919434,28.454879760742188,False,150,0
300,27.45244836807251,28.31276798248291,False,150,0
